,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
457,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"RG Sharma, AJ Finch, AP Tare, AT Rayudu, CJ Anderson","UT Yadav, M Morkel, Shakib Al Hasan",37
458,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"DR Smith, BB McCullum, SK Raina, F du Plessis","JA Morkel, NM Coulter-Nile, DJ Muthuswami",59
459,Maharashtra Cricket Association Stadium,1,Rajasthan Royals,Kings XI Punjab,"AM Rahane, SV Samson, SPD Smith, KK Nair","Sandeep Sharma, Anureet Singh, AR Patel",35
460,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Sunrisers Hyderabad,"DR Smith, BB McCullum","B Kumar, TA Boult, I Sharma, KV Sharma",49
461,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa, G Gambhir","SA Abbott, HV Patel, VR Aaron, AN Ahmed",53
462,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"MA Agarwal, SS Iyer, JP Duminy","TG Southee, CH Morris, DS Kulkarni, PV Tambe, DJ Hooda",51
463,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"M Vijay, V Sehwag","R Vinay Kumar, P Suyal, SL Malinga",57
464,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, V Kohli, KD Karthik","TA Boult, B Kumar, P Kumar",47
465,"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,"AJ Finch, PA Patel, UBT Chand, RG Sharma","TG Southee, CH Morris, DS Kulkarni, STR Binny",31
466,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"DR Smith, SK Raina, BB McCullum, F du Plessis, DJ Bravo, MS Dhoni","PJ Cummins, UT Yadav, PP Chawla, GB Hogg",69
467,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,"M Vijay, V Sehwag, WP Saha","NM Coulter-Nile, DJ Muthuswami, AD Mathews",41
468,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"DA Warner, S Dhawan, KL Rahul, EJG Morgan","TG Southee, CH Morris, DJ Hooda, DS Kulkarni",35
469,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"LMP Simmons, PA Patel, CJ Anderson, RG Sharma, Harbhajan Singh","A Nehra, IC Pandey, MM Sharma",31
470,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"MA Agarwal, SS Iyer, JP Duminy","P Kumar, DW Steyn, B Kumar",40
471,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Kolkata Knight Riders,"M Vijay, WP Saha, V Sehwag, GJ Maxwell, GJ Bailey","UT Yadav, M Morkel, AD Russell",48
472,"Sardar Patel Stadium, Motera",1,Chennai Super Kings,Rajasthan Royals,"DR Smith, BB McCullum, SK Raina, F du Plessis","Ankit Sharma, CH Morris, PV Tambe, DJ Hooda, JP Faulkner",39
473,M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"LMP Simmons, PA Patel, UBT Chand","Iqbal Abdulla, VR Aaron, AN Ahmed, D Wiese",48
474,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"MA Agarwal, SS Iyer, JP Duminy, MK Tiwary","UT Yadav, M Morkel, SP Narine, AD Russell",34
475,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kings XI Punjab,"AM Rahane, SR Watson","Sandeep Sharma, Anureet Singh, MG Johnson",43
476,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan, DA Warner","J Botha, M Morkel, SP Narine",43
477,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, BB McCullum, SK Raina","MA Starc, YS Chahal, HV Patel, D Wiese",45
478,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"MA Agarwal, SS Iyer, JP Duminy","MJ McClenaghan, SL Malinga, JJ Bumrah, Harbhajan Singh",45
479,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane, SR Watson, KK Nair, SPD Smith","MA Starc, Iqbal Abdulla, HV Patel, YS Chahal",48
480,Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"LMP Simmons, PA Patel, UBT Chand","TA Boult, B Kumar, DW Steyn",46
481,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,"DR Smith, BB McCullum, SK Raina","Karanveer Singh, Sandeep Sharma, Anureet Singh, MG Johnson",54
482,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"MA Agarwal, SS Iyer, JP Duminy, Yuvraj Singh","MA Starc, VR Aaron, HV Patel, D Wiese",38
483,"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, S Dhawan, GH Vihari","Sandeep Sharma, MG Johnson, Anureet Singh",56
484,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"RV Uthappa, G Gambhir, MK Pandey","Z Khan, JA Morkel, JP Duminy",50
485,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"DR Smith, BB McCullum, SK Raina","PJ Cummins, UT Yadav, PP Chawla",53
486,Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"V Sehwag, SE Marsh, M Vohra, WP Saha, GJ Bailey, DA Miller","Z Khan, JP Duminy, NM Coulter-Nile",27
487,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"LMP Simmons, PA Patel, UBT Chand","TG Southee, DS Kulkarni, J Theron, SR Watson",47
488,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa, G Gambhir, AD Russell","MA Starc, VR Aaron, HV Patel, D Wiese, YS Chahal",61
489,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner, S Dhawan","MM Sharma, A Nehra, RG More",76
490,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"LMP Simmons, PA Patel","Sandeep Sharma, Anureet Singh, MG Johnson, AR Patel",51
491,Brabourne Stadium,1,Rajasthan Royals,Delhi Daredevils,"AM Rahane, SR Watson","Z Khan, GS Sandhu, NM Coulter-Nile",43
492,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"DR Smith, BB McCullum, SK Raina","MA Starc, YS Chahal, D Wiese, HV Patel",37
493,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, G Gambhir","B Kumar, DW Steyn, P Kumar, MC Henriques",55
494,Wankhede Stadium,1,Delhi Daredevils,Mumbai Indians,"MA Agarwal, JP Duminy, SS Iyer, KM Jadhav","SL Malinga, MJ McClenaghan, R Vinay Kumar, Harbhajan Singh",44
495,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle, V Kohli","Sandeep Sharma, MG Johnson, Anureet Singh",68
496,Brabourne Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"S Dhawan, DA Warner, MC Henriques","DJ Hooda, CH Morris, DS Kulkarni, SR Watson, JP Faulkner",56
497,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"DR Smith, BB McCullum, SK Raina","MJ McClenaghan, M de Lange, J Suchith, R Vinay Kumar",44
498,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"M Vijay, M Vohra, WP Saha","UT Yadav, AD Russell, SP Narine, J Botha",45
499,Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,"S Dhawan, DA Warner, EJG Morgan, MC Henriques","J Yadav, Z Khan, NM Coulter-Nile",41
500,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle, V Kohli, AB de Villiers","MJ McClenaghan, SL Malinga, JJ Bumrah, J Suchith",39
501,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,"DR Smith, BB McCullum, SK Raina, F du Plessis","CH Morris, SR Watson, Ankit Sharma, PV Tambe",36
502,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, S Dhawan","Sandeep Sharma, Anureet Singh, BE Hendricks, Gurkeerat Singh",56
503,Shaheed Veer Narayan Singh International Stadium,1,Chennai Super Kings,Delhi Daredevils,"DR Smith, BB McCullum","S Nadeem, Z Khan",16
504,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"WP Saha, M Vohra, GJ Maxwell, GJ Bailey, DA Miller, AR Patel","MA Starc, S Aravind, D Wiese, HV Patel, YS Chahal",72
505,Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,"LMP Simmons, PA Patel, RG Sharma, AT Rayudu","UT Yadav, M Morkel, Shakib Al Hasan",46
506,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner, S Dhawan, MC Henriques","MA Starc, HV Patel, D Wiese, AB Dinda, YS Chahal",68
507,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,"WP Saha, M Vohra, GJ Bailey, GJ Maxwell, Gurkeerat Singh","P Negi, IC Pandey, A Nehra",41
508,Brabourne Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"AM Rahane, SR Watson","Azhar Mahmood, M Morkel, UT Yadav, Shakib Al Hasan",66
509,M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"Q de Kock, SS Iyer","MA Starc, AB Dinda, HV Patel, D Wiese",54
510,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,"DA Warner, S Dhawan, EJG Morgan, MC Henriques, KL Rahul","SL Malinga, MJ McClenaghan, R Vinay Kumar",29
511,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"LMP Simmons, PA Patel","R Ashwin, A Nehra",48
512,Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle, V Kohli","CH Morris, JP Faulkner, DS Kulkarni, SR Watson",41
513,JSCA International Stadium Complex,1,Royal Challengers Bangalore,Chennai Super Kings,"CH Gayle, V Kohli, AB de Villiers, Mandeep Singh","A Nehra, R Ashwin",29
514,Eden Gardens,1,Mumbai Indians,Chennai Super Kings,"LMP Simmons, PA Patel, RG Sharma","A Nehra, MM Sharma, R Ashwin, RA Jadeja",61
515,Wankhede Stadium,1,Mumbai Indians,Rising Pune Supergiants,"LMP Simmons, RG Sharma, HH Pandya, JC Buttler, AT Rayudu, KA Pollard","RP Singh, I Sharma, MR Marsh",37
516,Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,"MA Agarwal, Q de Kock, SS Iyer, KK Nair, SV Samson, P Negi","AD Russell, UT Yadav, JW Hastings",35
517,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,"M Vijay, M Vohra","P Kumar, PJ Sangwan, JP Faulkner, S Ladda",52
518,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"CH Gayle, V Kohli, AB de Villiers","A Nehra, B Kumar, Mustafizur Rahman",49
519,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa, G Gambhir, MK Pandey","TG Southee, JJ Bumrah, MJ McClenaghan",40
520,Saurashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,"AM Rahane, F du Plessis, KP Pietersen","P Kumar, SB Jakati, PV Tambe, DJ Bravo",57
521,Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"M Vijay, M Vohra, SE Marsh","Z Khan, P Negi, CH Morris, CR Brathwaite",37
522,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner, S Dhawan, MC Henriques, EJG Morgan","M Morkel, UT Yadav, Shakib Al Hasan",36
523,Wankhede Stadium,1,Mumbai Indians,Gujarat Lions,"RG Sharma, HH Pandya, PA Patel, JC Buttler","P Kumar, DS Kulkarni",31
524,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Rising Pune Supergiants,Kings XI Punjab,"AM Rahane, F du Plessis, KP Pietersen","Sandeep Sharma, KJ Abbott, AR Patel, P Sahu",49
525,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle, AB de Villiers, V Kohli","Z Khan, CH Morris, Mohammed Shami",63
526,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"MJ Guptill, AT Rayudu, PA Patel, RG Sharma","B Kumar, BB Sran, MC Henriques, Mustafizur Rahman",40
527,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"M Vijay, M Vohra, SE Marsh","M Morkel, UT Yadav, Shakib Al Hasan",41
528,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"V Kohli, KL Rahul, AB de Villiers","TG Southee, MJ McClenaghan, JJ Bumrah",49
529,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Sunrisers Hyderabad,"AJ Finch, SK Raina, BB McCullum","B Kumar, BB Sran, Mustafizur Rahman, DJ Hooda",50
530,Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rising Pune Supergiants,"V Kohli, KL Rahul, AB de Villiers","I Sharma, NLTC Perera, Ankit Sharma",48
531,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"Q de Kock, SS Iyer, SV Samson","TG Southee, MJ McClenaghan, JJ Bumrah, KH Pandya",41
532,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,"M Vijay, M Vohra, SE Marsh, DA Miller","B Kumar, BB Sran, DJ Hooda, Mustafizur Rahman",35
533,Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"V Kohli, SR Watson, AB de Villiers","P Kumar, DS Kulkarni, PV Tambe, SB Jakati",50
534,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Kolkata Knight Riders,"AM Rahane, F du Plessis, SPD Smith","M Morkel, AD Russell, Shakib Al Hasan, SP Narine",31
535,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"RG Sharma, AT Rayudu, PA Patel","Sandeep Sharma, MG Johnson, AR Patel",39
536,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rising Pune Supergiants,"DA Warner, AP Tare, S Dhawan, EJG Morgan, DJ Hooda","AB Dinda, MR Marsh, NLTC Perera",27
537,Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,"DR Smith, BB McCullum","Z Khan, S Nadeem, CH Morris",71
538,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"RV Uthappa, G Gambhir","TG Southee, MJ McClenaghan, JJ Bumrah, Harbhajan Singh",59
539,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,"AM Rahane, SS Tiwary, SPD Smith","P Kumar, DS Kulkarni",48
540,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"Q de Kock, SS Iyer, SV Samson, KK Nair, SW Billings","AD Russell, JO Holder, SP Narine",37
541,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner, S Dhawan, KS Williamson","KW Richardson, SR Watson, Parvez Rasool, VR Aaron, HV Patel",49
542,Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,"M Vijay, MP Stoinis","P Kumar, DS Kulkarni, RA Jadeja",59
543,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Mumbai Indians,"AM Rahane, SS Tiwary, SPD Smith","TG Southee, MJ McClenaghan, KH Pandya, JJ Bumrah",54
544,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"KL Rahul, CH Gayle, V Kohli","AD Russell, M Morkel, SP Narine",40
545,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Delhi Daredevils,"DR Smith, BB McCullum, AJ Finch, SK Raina, KD Karthik","S Nadeem, CH Morris, Z Khan, Mohammed Shami",35
546,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"RV Uthappa, G Gambhir","Sandeep Sharma, MM Sharma, MP Stoinis, AR Patel",40
547,Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiants,"RR Pant, SV Samson, KK Nair","AB Dinda, NLTC Perera, SM Boland",48
548,"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,"DR Smith, BB McCullum, SK Raina, KD Karthik, AJ Finch","B Kumar, A Nehra, Mustafizur Rahman",26
549,M Chinnaswamy Stadium,1,Rising Pune Supergiants,Royal Challengers Bangalore,"AM Rahane, UT Khawaja, SS Tiwary","STR Binny, Parvez Rasool, CJ Jordan, SR Watson, VR Aaron",60
550,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,"M Vijay, MP Stoinis, HM Amla","S Nadeem, Mohammed Shami, CH Morris, Z Khan",45
551,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"DA Warner, S Dhawan","TG Southee, MJ McClenaghan, Harbhajan Singh, JJ Bumrah",51
552,Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav, Shakib Al Hasan, YK Pathan","P Kumar, DS Kulkarni, DR Smith",28
553,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,"V Kohli, KL Rahul","Sandeep Sharma, Anureet Singh, MM Sharma, MP Stoinis, AR Patel",56
554,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiants,"DA Warner, S Dhawan, KS Williamson","AB Dinda, RP Singh",34
555,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"V Kohli, AB de Villiers, CH Gayle, KL Rahul","TG Southee, MJ McClenaghan, JJ Bumrah, KH Pandya",25
556,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner, S Dhawan","J Yadav, NM Coulter-Nile, Mohammed Shami",51
557,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,"RG Sharma, UBT Chand, AT Rayudu, N Rana","Sandeep Sharma, MM Sharma, AR Patel",21
558,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"CH Gayle, V Kohli, AB de Villiers","P Kumar, DS Kulkarni, S Kaushik, PV Tambe",42
559,Eden Gardens,1,Rising Pune Supergiants,Kolkata Knight Riders,"AM Rahane, UT Khawaja, GJ Bailey, SS Tiwary","AD Russell, M Morkel, Shakib Al Hasan",37
560,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Sunrisers Hyderabad,"HM Amla, M Vijay, WP Saha","B Kumar, A Nehra, Mustafizur Rahman, BCJ Cutting",47
561,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,"RG Sharma, MJ Guptill","S Nadeem, CH Morris, Z Khan",45
562,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"RV Uthappa, G Gambhir, MK Pandey","STR Binny, S Aravind, Iqbal Abdulla, SR Watson",51
563,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Rising Pune Supergiants,"Q de Kock, SS Iyer, KK Nair, SV Samson","AB Dinda, DL Chahar, NLTC Perera",28
564,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle, V Kohli","Sandeep Sharma, MM Sharma, KJ Abbott, KC Cariappa, AR Patel",63
565,Green Park,1,Kolkata Knight Riders,Gujarat Lions,"RV Uthappa, G Gambhir, MK Pandey, PP Chawla","P Kumar, DS Kulkarni, DR Smith",44
566,Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner, S Dhawan","Z Khan, J Yadav, NM Coulter-Nile, CR Brathwaite",46
567,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Kings XI Punjab,Rising Pune Supergiants,"HM Amla, M Vijay","IK Pathan, AB Dinda, DL Chahar, NLTC Perera",52
568,Green Park,1,Mumbai Indians,Gujarat Lions,"RG Sharma, MJ Guptill, N Rana, KH Pandya, JC Buttler","P Kumar, DS Kulkarni, DR Smith",49
569,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, G Gambhir, C Munro","B Kumar, BB Sran, KS Williamson, DJ Hooda",48
570,Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"Q de Kock, RR Pant, KK Nair","STR Binny, S Aravind, CJ Jordan, SR Watson, YS Chahal",43
571,M Chinnaswamy Stadium,1,Gujarat Lions,Royal Challengers Bangalore,"AJ Finch, BB McCullum, KD Karthik, SK Raina, DR Smith","S Aravind, Iqbal Abdulla, SR Watson",23
572,Feroz Shah Kotla,1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner, S Dhawan, MC Henriques","YK Pathan, M Morkel, SP Narine",43
573,Feroz Shah Kotla,1,Gujarat Lions,Sunrisers Hyderabad,"ER Dwivedi, BB McCullum, SK Raina, KD Karthik","B Kumar, TA Boult, BB Sran, Bipul Sharma",38
574,M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner, S Dhawan","S Aravind, CH Gayle, SR Watson",59
575,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"DA Warner, S Dhawan, MC Henriques","TS Mills, A Choudhary, YS Chahal, S Aravind, SR Watson",59
576,Maharashtra Cricket Association Stadium,1,Mumbai Indians,Rising Pune Supergiant,"PA Patel, JC Buttler, RG Sharma","AB Dinda, DL Chahar, BA Stokes, Imran Tahir",61
577,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Kolkata Knight Riders,"JJ Roy, BB McCullum, SK Raina","TA Boult, PP Chawla, SP Narine, CR Woakes",52
578,Holkar Cricket Stadium,1,Rising Pune Supergiant,Kings XI Punjab,"AM Rahane, MA Agarwal, SPD Smith","Sandeep Sharma, MM Sharma, AR Patel",35
579,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle, SR Watson, Mandeep Singh, KM Jadhav","Z Khan, CH Morris, PJ Cummins, S Nadeem",41
580,"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,"JJ Roy, BB McCullum, SK Raina, AJ Finch","Bipul Sharma, B Kumar, A Nehra, Rashid Khan",40
581,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir, CA Lynn, RV Uthappa, MK Pandey","SL Malinga, MJ McClenaghan, JJ Bumrah, KH Pandya",59
582,Holkar Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"SR Watson, Vishnu Vinod, AB de Villiers, KM Jadhav, Mandeep Singh","AR Patel, Sandeep Sharma, MM Sharma, VR Aaron",23
583,Maharashtra Cricket Association Stadium,1,Delhi Daredevils,Rising Pune Supergiant,"AP Tare, SW Billings, SV Samson","AB Dinda, DL Chahar, BA Stokes",62
584,Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, DA Warner","Harbhajan Singh, SL Malinga, JJ Bumrah",34
585,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"HM Amla, M Vohra, MP Stoinis","TA Boult, UT Yadav, CR Woakes, SP Narine, PP Chawla",57
586,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"CH Gayle, V Kohli","TG Southee, Harbhajan Singh, MJ McClenaghan",41
587,Saurashtra Cricket Association Stadium,1,Rising Pune Supergiant,Gujarat Lions,"AM Rahane, SPD Smith, RA Tripathi, BA Stokes","P Kumar, Basil Thampi, SB Jakati, AJ Tye",64
588,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"SP Narine, G Gambhir, RV Uthappa, MK Pandey","B Kumar, A Nehra, BCJ Cutting, Rashid Khan",40
589,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"SV Samson, SW Billings","Sandeep Sharma, MM Sharma, AR Patel, VR Aaron",49
590,Wankhede Stadium,1,Gujarat Lions,Mumbai Indians,"DR Smith, SK Raina, BB McCullum","MJ McClenaghan, SL Malinga, Harbhajan Singh, JJ Bumrah",46
591,M Chinnaswamy Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,"AM Rahane, RA Tripathi","AF Milne, S Badree, S Aravind, SR Watson",55
592,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"SV Samson, SW Billings","NM Coulter-Nile, CR Woakes, UT Yadav, SP Narine, Kuldeep Yadav",53
593,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, S Dhawan, MC Henriques","Sandeep Sharma, I Sharma, MM Sharma",29
594,Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"CH Gayle, V Kohli","DS Kulkarni, Basil Thampi, AJ Tye, RA Jadeja",45
595,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner, S Dhawan, KS Williamson","J Yadav, CH Morris, Z Khan, PJ Cummins",39
596,Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,"HM Amla, SE Marsh, WP Saha","HH Pandya, MJ McClenaghan, Harbhajan Singh, SL Malinga",46
597,Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,"SP Narine, G Gambhir, RV Uthappa","P Kumar, JP Faulkner, Basil Thampi, SK Raina, DS Kulkarni",65
598,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"PA Patel, JC Buttler, N Rana, RG Sharma","K Rabada, CH Morris, Z Khan",48
599,Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiant,"DA Warner, S Dhawan","JD Unadkat, Washington Sundar, BA Stokes, SN Thakur",45
600,Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,"M Vohra, HM Amla, SE Marsh","SS Agarwal, NB Singh, SK Raina, Basil Thampi, AJ Tye",50
601,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"SP Narine, G Gambhir, RV Uthappa","S Badree, TS Mills, S Aravind, STR Binny",65
602,Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,"AM Rahane, RA Tripathi","MG Johnson, MJ McClenaghan, KV Sharma, JJ Bumrah",48
603,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Kolkata Knight Riders,"AM Rahane, RA Tripathi","UT Yadav, CR Woakes, SP Narine",57
604,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"CH Gayle, V Kohli, AB de Villiers, TM Head, KM Jadhav","NB Singh, Basil Thampi, AJ Tye",35
